account_id;customer_id;account_number;account_type;balance_idr;created_date;status;tier
ACC00001;NBC0001;8872404347;tabungan;38477609;12/09/2024;active;gold
ACC00002;NBC0002;8825313795;tabungan;17389088;05/02/2023;active;platinum
ACC00003;NBC0003;8810077732;deposito;461565881;23/05/2024;closed;basic
ACC00004;NBC0004;8850361920;bisnis;20169496;28/12/2024;active;silver
ACC00005;NBC0005;8899919387;tabungan;9939015;21/08/2024;active;silver
ACC00006;NBC0006;8870342444;tabungan;13077259;15/07/2023;active;silver
ACC00007;NBC0007;8889047607;tabungan;30201946;31/01/2025;active;basic
ACC00008;NBC0008;8823510765;tabungan;35972714;08/07/2024;active;basic
ACC00009;NBC0009;8870851732;tabungan;5214791;11/06/2024;closed;silver
ACC00010;NBC0010;8851456340;bisnis;144975425;22/10/2024;active;gold
ACC00011;NBC0011;8885805581;tabungan;40702107;19/04/2023;active;silver
ACC00012;NBC0012;8857449653;tabungan;49016976;20/05/2024;active;gold
ACC00013;NBC0013;8816077004;deposito;328345184;26/10/2024;active;silver
ACC00014;NBC0014;8830454184;bisnis;3535444;03/12/2024;active;basic
ACC00015;NBC0015;8898221803;tabungan;1333124;03/11/2023;active;silver
ACC00016;NBC0016;8862038588;tabungan;39598019;21/07/2024;active;basic
ACC00017;NBC0017;8840788026;tabungan;26899266;07/02/2025;dormant;basic
ACC00018;NBC0018;8895164693;tabungan;21688649;20/01/2023;active;silver
ACC00019;NBC0019;8835623039;deposito;470441116;23/10/2024;active;gold
ACC00020;NBC0020;8840880670;deposito;256482549;20/11/2023;active;silver
ACC00021;NBC0021;8898709201;deposito;276436093;25/08/2024;active;silver
ACC00022;NBC0022;8891843113;bisnis;161423083;30/06/2024;active;basic
ACC00023;NBC0023;8826611584;tabungan;45784322;23/01/2025;active;basic
ACC00024;NBC0024;8880526321;tabungan;37247764;08/02/2025;active;silver
ACC00025;NBC0025;8860472205;bisnis;30414013;11/02/2025;active;basic
ACC00026;NBC0026;8870774544;deposito;126273926;04/01/2025;active;silver
ACC00027;NBC0027;8808231714;tabungan;32328877;16/01/2025;active;gold
