customer_id;name;nik_masked;email;phone;city;province;dob;gender;kyc_status;registration_date;referral_code
NBC0001;Hendra Salim;357859******;hendra.salim973@gmail.com;87275571928;Surabaya;Jawa Timur;18/06/1991;Male;verified;26/03/2024;REF-5566
NBC0002;Fajar Saputra;327373******;fajar.saputra531@hotmail.com;87144739473;Yogyakarta;DI Yogyakarta;02/07/1980;Male;rejected;05/10/2022;
NBC0003;Cahyo Halim;327197******;cahyo.halim991@outlook.com;88518844225;Jakarta;DKI Jakarta;27/10/1997;Male;unverified;05/04/2023;REF-4292
NBC0004;Putri Darmawan;317156******;putri.darmawan568@outlook.com;85829114678;Bogor;Jawa Barat;05/06/1993;Female;pending;18/04/2024;
NBC0005;Taufik Kusuma;127169******;taufik.kusuma697@outlook.com;82892268018;Surabaya;Jawa Timur;12/11/1981;Male;verified;15/09/2023;REF-6286
NBC0006;Nadia Rahman;167146******;nadia.rahman867@gmail.com;83384249818;Medan;Sumatera Utara;02/10/2003;Female;pending;12/12/2022;REF-3526
NBC0007;Rangga Mahendra;517115******;rangga.mahendra846@gmail.com;81094396907;Semarang;Jawa Tengah;18/02/2003;Male;rejected;22/01/2025;REF-5949
NBC0008;Arif Wardana;347168******;arif.wardana75@gmail.com;82767735925;Medan;Sumatera Utara;28/04/1989;Male;verified;09/12/2023;
NBC0009;Wahyu Cahyadi;167123******;wahyu.cahyadi327@yahoo.com;85147321046;Medan;Sumatera Utara;09/08/2002;Male;verified;06/05/2024;REF-3616
NBC0010;Mira Ramadhan;337430******;mira.ramadhan511@hotmail.com;85470168733;Jakarta;DKI Jakarta;02/03/2001;Female;verified;24/12/2023;REF-5609
NBC0011;Teguh Effendi;347178******;teguh.effendi9@gmail.com;85245650609;Semarang;Jawa Tengah;14/03/2000;Male;verified;03/02/2023;REF-5728
NBC0012;Irfan Halim;167145******;irfan.halim846@gmail.com;82165585239;Medan;Sumatera Utara;02/11/1997;Male;verified;02/04/2024;REF-1742
NBC0013;Cahyo Mahendra;127176******;cahyo.mahendra468@yahoo.com;87825952694;Tangerang;Banten;19/08/2001;Male;verified;20/11/2023;REF-9351
NBC0014;Cahyo Firmansyah;127112******;cahyo.firmansyah378@outlook.com;88169409749;Bali;Bali;28/11/2000;Male;unverified;12/04/2023;
NBC0015;Jihan Budiman;517158******;jihan.budiman152@yahoo.com;81913075626;Yogyakarta;DI Yogyakarta;22/12/2005;Female;verified;22/02/2023;REF-8726
NBC0016;Zulfa Santoso;327376******;zulfa.santoso213@outlook.com;88786527858;Jakarta;DKI Jakarta;22/11/1990;Female;verified;26/06/2023;REF-4150
NBC0017;Sari Firmansyah;337448******;sari.firmansyah790@outlook.com;88375758441;Jakarta;DKI Jakarta;21/09/2000;Female;unverified;17/01/2025;REF-7464
NBC0018;Bilqis Hidayat;347115******;bilqis.hidayat295@gmail.com;83747338484;Semarang;Jawa Tengah;27/02/1981;Female;verified;12/08/2022;REF-4920
NBC0019;Yoga Budiman;337491******;yoga.budiman239@gmail.com;81657120826;Bandung;Jawa Barat;14/04/2004;Male;verified;01/09/2024;REF-4267
NBC0020;Tika Ramadhan;347192******;tika.ramadhan61@gmail.com;88938026206;Jakarta;DKI Jakarta;22/03/1997;Female;verified;17/01/2023;
NBC0021;Tika Wijaya;317148******;tika.wijaya582@gmail.com;83478872874;Banjarmasin;Kalimantan Selatan;26/08/1983;Female;verified;19/08/2022;REF-8518
NBC0022;Winda Permana;317153******;winda.permana810@outlook.com;87329668516;Surabaya;Jawa Timur;08/01/2005;Female;verified;15/07/2022;REF-3303
NBC0023;Nanda Pratama;347159******;nanda.pratama242@hotmail.com;83549904530;Semarang;Jawa Tengah;15/12/2004;Male;verified;31/08/2022;REF-3616
NBC0024;Irfan Firmansyah;327191******;irfan.firmansyah939@outlook.com;83933272795;Yogyakarta;DI Yogyakarta;27/08/1993;Male;verified;29/01/2025;
NBC0025;Tania Anwar;337497******;tania.anwar773@gmail.com;87785191088;Bali;Bali;26/01/1984;Female;verified;04/01/2025;REF-6375
NBC0026;Erika Sugiarto;337484******;erika.sugiarto501@gmail.com;87707286790;Surabaya;Jawa Timur;25/01/2000;Female;unverified;04/08/2024;REF-6049
